PRDCODEXT,PROMDEFFECDES_df1,PROMDEFFECHAS_df1,Status Hoy_df2,Prov_df2,Cat _df2,Tipo Prov_df2,LOCCOD_df3,MOVFEC_df3,ACPRCANTVEND_df3,ACPRIMPVEN_df3
561161,26/08/2021,13/09/2021,1.0,25161.0,216.0,1.0,5201.0,10/5/2021,1.0,689
561243,26/08/2021,13/09/2021,1.0,64707.0,216.0,1.0,5201.0,2/5/2021,2.0,450
561278,26/08/2021,13/09/2021,1.0,22049.0,216.0,1.0,5201.0,3/5/2021,3.0,2145
561395,26/08/2021,13/09/2021,1.0,22049.0,216.0,1.0,5201.0,19/5/2021,2.0,1090
561406,26/08/2021,13/09/2021,1.0,11052.0,216.0,1.0,5201.0,29/5/2021,2.0,858
561434,26/08/2021,13/09/2021,1.0,11092.0,216.0,1.0,5201.0,2/5/2021,1.0,269
561449,26/08/2021,13/09/2021,1.0,11094.0,216.0,1.0,5201.0,23/8/2021,2.0,3100
561478,26/08/2021,13/09/2021,5.0,22010.0,216.0,1.0,5201.0,8/6/2021,1.0,1150
561479,26/08/2021,13/09/2021,5.0,22010.0,216.0,1.0,5201.0,5/5/2021,2.0,1158
561480,26/08/2021,13/09/2021,5.0,22010.0,216.0,1.0,5201.0,3/5/2021,1.0,579
561482,26/08/2021,13/09/2021,5.0,22010.0,216.0,1.0,5201.0,5/5/2021,1.0,1550
561483,26/08/2021,13/09/2021,5.0,22010.0,216.0,1.0,5201.0,2/5/2021,1.0,445
561484,26/08/2021,13/09/2021,1.0,22010.0,216.0,1.0,5201.0,2/5/2021,5.0,1395
561485,26/08/2021,13/09/2021,1.0,22010.0,216.0,1.0,5201.0,2/5/2021,1.0,279
561495,26/08/2021,13/09/2021,1.0,12044.0,217.0,1.0,5201.0,7/5/2021,1.0,649
561500,26/08/2021,13/09/2021,5.0,85300.0,216.0,1.0,5201.0,23/8/2021,0.0,780
561504,26/08/2021,13/09/2021,5.0,85300.0,216.0,1.0,5201.0,15/5/2021,1.0,2700
561557,26/08/2021,13/09/2021,1.0,62829.0,216.0,1.0,5201.0,1/7/2021,2.0,990
561561,26/08/2021,13/09/2021,1.0,31066.0,216.0,1.0,5201.0,2/5/2021,3.0,675
561590,26/08/2021,13/09/2021,1.0,64156.0,216.0,1.0,5201.0,23/8/2021,0.0,1849
561605,26/08/2021,13/09/2021,1.0,10214.0,216.0,1.0,5201.0,8/8/2021,1.0,1110
561610,26/08/2021,13/09/2021,1.0,11094.0,216.0,1.0,5201.0,28/5/2021,1.0,529
561617,26/08/2021,13/09/2021,5.0,22010.0,216.0,1.0,5201.0,2/5/2021,2.0,558
561636,26/08/2021,13/09/2021,1.0,22049.0,216.0,1.0,5201.0,22/5/2021,2.0,2380
561642,26/08/2021,13/09/2021,1.0,13016.0,216.0,1.0,5201.0,17/7/2021,1.0,799
561644,26/08/2021,13/09/2021,1.0,12044.0,216.0,1.0,5201.0,16/5/2021,1.0,479
561648,26/08/2021,13/09/2021,1.0,11094.0,216.0,1.0,5201.0,26/5/2021,1.0,329
561688,26/08/2021,13/09/2021,1.0,11092.0,216.0,1.0,5201.0,7/5/2021,1.0,435
561719,26/08/2021,13/09/2021,1.0,12002.0,216.0,1.0,5201.0,9/5/2021,1.0,869
561737,26/08/2021,13/09/2021,1.0,62707.0,216.0,1.0,5201.0,7/5/2021,1.0,425
561742,26/08/2021,13/09/2021,5.0,10145.0,216.0,1.0,5201.0,5/6/2021,1.0,539
561754,26/08/2021,13/09/2021,1.0,12044.0,216.0,1.0,5201.0,14/5/2021,1.0,479
561759,26/08/2021,13/09/2021,1.0,25126.0,216.0,1.0,5201.0,8/5/2021,2.0,938
561786,26/08/2021,13/09/2021,1.0,12002.0,216.0,1.0,5201.0,6/5/2021,1.0,335
561795,26/08/2021,13/09/2021,1.0,10214.0,216.0,1.0,5201.0,2/5/2021,1.0,445
605080,28/09/2021,24/10/2021,1.0,22010.0,216.0,1.0,5201.0,2/5/2021,3.0,837
605081,28/09/2021,24/10/2021,1.0,22010.0,216.0,1.0,5201.0,4/5/2021,1.0,289
605082,28/09/2021,24/10/2021,5.0,22010.0,216.0,1.0,5201.0,4/5/2021,1.0,279
605087,28/09/2021,24/10/2021,1.0,22010.0,216.0,1.0,5201.0,4/5/2021,1.0,279
605088,28/09/2021,24/10/2021,5.0,10145.0,216.0,1.0,5201.0,19/5/2021,1.0,289
562556,05/07/2021,25/07/2021,1.0,25161.0,216.0,1.0,5201.0,3/5/2021,1.0,449
562565,05/07/2021,25/07/2021,1.0,25161.0,216.0,1.0,5201.0,10/5/2021,1.0,449
562566,05/07/2021,25/07/2021,1.0,25161.0,216.0,1.0,5201.0,4/5/2021,1.0,449
561802,26/08/2021,13/09/2021,1.0,12002.0,216.0,1.0,5201.0,2/5/2021,1.0,335
561828,26/08/2021,13/09/2021,1.0,64156.0,216.0,1.0,5201.0,13/8/2021,1.0,685
561838,26/08/2021,13/09/2021,1.0,22010.0,216.0,1.0,5201.0,5/5/2021,2.0,738
561839,26/08/2021,13/09/2021,1.0,22010.0,216.0,1.0,5201.0,20/6/2021,1.0,949
561848,26/08/2021,13/09/2021,1.0,65987.0,216.0,1.0,5201.0,2/5/2021,4.0,992
561854,26/08/2021,13/09/2021,1.0,12002.0,216.0,1.0,5201.0,2/5/2021,2.0,910
561866,26/08/2021,13/09/2021,1.0,65987.0,216.0,1.0,5201.0,4/5/2021,2.0,466
561870,26/08/2021,13/09/2021,1.0,62829.0,216.0,1.0,5201.0,5/5/2021,3.0,1137
561896,26/08/2021,13/09/2021,1.0,65987.0,216.0,1.0,5201.0,2/5/2021,3.0,1137
561898,26/08/2021,13/09/2021,1.0,65987.0,216.0,1.0,5201.0,9/5/2021,1.0,420
561903,26/08/2021,13/09/2021,1.0,11092.0,216.0,1.0,5201.0,16/5/2021,1.0,569
561917,26/08/2021,13/09/2021,1.0,10214.0,217.0,1.0,5201.0,22/5/2021,1.0,735
561923,26/08/2021,13/09/2021,5.0,18204.0,216.0,1.0,5201.0,2/5/2021,1.0,259
561946,26/08/2021,13/09/2021,1.0,62831.0,216.0,1.0,5201.0,11/5/2021,1.0,335
561956,26/08/2021,13/09/2021,1.0,12002.0,216.0,1.0,5201.0,2/5/2021,1.0,335
561967,26/08/2021,13/09/2021,1.0,31066.0,216.0,1.0,5201.0,9/5/2021,3.0,1737
561985,26/08/2021,13/09/2021,1.0,62829.0,216.0,1.0,5201.0,2/5/2021,3.0,1815
561996,26/08/2021,13/09/2021,1.0,22049.0,216.0,1.0,5201.0,5/6/2021,1.0,1670
